,gauge_obs_peak_m,gauge_mod_peak_m,gauge_peak_err_m,hwm_n_wet,hwm_n_dry,hwm_rmse_m,hwm_bias_m,hwm_within0.5,motf_csi,motf_pod,motf_far,shb_hm0_mean,shb_hm0_max
baseline_no_waves,2.808,2.498490571975708,-0.3095094280242918,30,1,0.8122335303619694,-0.3745913541191503,0.5789473684210527,0.419282077721209,0.4600362547086124,0.17443215245653904,,
wind_waves,2.808,2.5127785205841064,-0.2952214794158934,30,1,0.6866310989580988,-0.11792858379765565,0.631578947368421,0.5014967628153064,0.555674119023437,0.16276997578692495,1.019158124923706,4.4130473136901855
snapwave_tuned,2.808,2.516587734222412,-0.2914122657775877,30,1,0.6962363097696733,-0.09026766807154607,0.5789473684210527,0.5062416277888124,0.5636000154275356,0.16738364529025765,0.8983803987503052,4.019040584564209
igwaves,2.808,2.4993999004364014,-0.30860009956359846,30,1,0.6907798846474831,-0.1654893070020174,0.6842105263157895,0.49961305038491305,0.5519329416453467,0.15947647156715908,211464.3125,6907784704.0
igwaves_wind,2.808,2.517836093902588,-0.29016390609741194,30,1,0.7081846303558823,-0.09543438063169783,0.5789473684210527,0.4997949268957709,0.5561562295103043,0.16858219138590455,0.8977102637290955,3.9748117923736572
wavemaker,2.808,2.5168137550354004,-0.29118624496459944,31,0,0.7322387708933985,0.09928551744159897,0.631578947368421,0.5571770375523918,0.6332039134515254,0.17728760899341864,0.9044823050498962,3.9698612689971924
