,gauge_obs_peak_m,gauge_mod_peak_prefail_m,gauge_peak_err_prefail_m,gauge_mod_peak_full_m,shrewsbury_obs_crest_m,shrewsbury_crest_datum_note,shrewsbury_mod_peak_m,shrewsbury_peak_err_m,shrewsbury_his_cell_zb_m,tide_obs_range_shrewsbury_01407600_m,tide_mod_range_shrewsbury_01407600_m,tide_mod_drift_shrewsbury_01407600_m,tide_mod_frac_rising_shrewsbury_01407600,tide_mod_is_tidal_shrewsbury_01407600,tide_range_damping_shrewsbury_01407600_m,tide_obs_range_shark_r_01407770_m,tide_mod_range_shark_r_01407770_m,tide_mod_drift_shark_r_01407770_m,tide_mod_frac_rising_shark_r_01407770,tide_mod_is_tidal_shark_r_01407770,tide_range_damping_shark_r_01407770_m,phase_lag_sandy_hook_min,phase_lag_shrewsbury_min,phase_lag_shark_river_min,hwm_estimator,hwm_radius_m,hwm_n_scored,hwm_n_dry_scored,hwm_rmse_scored_m,hwm_bias_scored_m,hwm_within0.5_scored,hwm_n_wet,hwm_n_dry,hwm_rmse_m,hwm_bias_m,hwm_within0.5,hwm_n_manasquan,hwm_bias_manasquan_m,hwm_rmse_manasquan_m,hwm_n_scored_manasquan,hwm_n_dry_manasquan,hwm_bias_scored_manasquan_m,hwm_rmse_scored_manasquan_m,hwm_n_barnegat_barrier,hwm_bias_barnegat_barrier_m,hwm_rmse_barnegat_barrier_m,hwm_n_scored_barnegat_barrier,hwm_n_dry_barnegat_barrier,hwm_bias_scored_barnegat_barrier_m,hwm_rmse_scored_barnegat_barrier_m,hwm_n_barnegat_bay,hwm_bias_barnegat_bay_m,hwm_rmse_barnegat_bay_m,hwm_n_scored_barnegat_bay,hwm_n_dry_barnegat_bay,hwm_bias_scored_barnegat_bay_m,hwm_rmse_scored_barnegat_bay_m,hwm_n_shark_river,hwm_bias_shark_river_m,hwm_rmse_shark_river_m,hwm_n_scored_shark_river,hwm_n_dry_shark_river,hwm_bias_scored_shark_river_m,hwm_rmse_scored_shark_river_m,hwm_n_south_coast,hwm_bias_south_coast_m,hwm_rmse_south_coast_m,hwm_n_scored_south_coast,hwm_n_dry_south_coast,hwm_bias_scored_south_coast_m,hwm_rmse_scored_south_coast_m,hwm_n_sandy_hook_bay,hwm_bias_sandy_hook_bay_m,hwm_rmse_sandy_hook_bay_m,hwm_n_scored_sandy_hook_bay,hwm_n_dry_sandy_hook_bay,hwm_bias_scored_sandy_hook_bay_m,hwm_rmse_scored_sandy_hook_bay_m,hwm_n_atlantic_oceanfront,hwm_bias_atlantic_oceanfront_m,hwm_rmse_atlantic_oceanfront_m,hwm_n_scored_atlantic_oceanfront,hwm_n_dry_atlantic_oceanfront,hwm_bias_scored_atlantic_oceanfront_m,hwm_rmse_scored_atlantic_oceanfront_m,hwm_n_shrewsbury_navesink,hwm_bias_shrewsbury_navesink_m,hwm_rmse_shrewsbury_navesink_m,hwm_n_scored_shrewsbury_navesink,hwm_n_dry_shrewsbury_navesink,hwm_bias_scored_shrewsbury_navesink_m,hwm_rmse_scored_shrewsbury_navesink_m,motf_csi,motf_pod,motf_far,shb_hm0_mean,shb_hm0_max,domain
faber-waves-premier,2.808,2.5133042335510254,-0.29469576644897444,3.177053451538086,2.935,Shrewsbury crest 11.73 ft is MLLW (CONFIRMED: NWS gauge sbin4 published 'IN MLLW'; USGS NWIS param 72279 is a separate NAVD88 feed). Re-derivation: 11.73 ft x 0.3048 - 0.640 (VDatum MLLW below NAVD88) = 2.935 m NAVD88.,2.8474037647247314,-0.08790023527526891,-4.369467258453369,1.283,1.02,0.319,0.542,True,0.263,1.539,1.353,0.536,0.458,True,0.186,17.8,35.1,35.2,median,50.0,60,0,0.49437089102742143,-0.25005222549438477,0.6833333333333333,88,7,0.49437089102742143,-0.25005222549438477,0.6833333333333333,10,-0.019802926158905044,0.28415950095860537,10,0,-0.019802926158905044,0.28415950095860537,2,0.2432541613578797,0.5309546566013049,2,0,0.2432541613578797,0.5309546566013049,7,-0.12454577922821046,0.3628101717638371,7,0,-0.12454577922821046,0.3628101717638371,1,-0.21429188156127932,0.21429188156127932,1,0,-0.21429188156127932,0.21429188156127932,4,-0.3905918004512787,0.6259334595880273,4,0,-0.3905918004512787,0.6259334595880273,23,-0.4876149077208145,0.673740298882748,23,0,-0.4876149077208145,0.673740298882748,3,-0.10410994847615547,0.2022824731059537,3,0,-0.10410994847615547,0.2022824731059537,10,-0.11156603298187262,0.13974979269675933,10,0,-0.11156603298187262,0.13974979269675933,0.6879325347197315,0.8580019448946515,0.22368228099216214,0.8845662474632263,4.059049606323242,v2_barnegat
wave-cora,2.808,2.513500690460205,-0.29449930953979475,3.176103353500366,2.935,Shrewsbury crest 11.73 ft is MLLW (CONFIRMED: NWS gauge sbin4 published 'IN MLLW'; USGS NWIS param 72279 is a separate NAVD88 feed). Re-derivation: 11.73 ft x 0.3048 - 0.640 (VDatum MLLW below NAVD88) = 2.935 m NAVD88.,2.772894859313965,-0.1624091406860355,-4.369467258453369,1.283,1.022,0.312,0.542,True,0.262,1.539,1.358,0.498,0.458,True,0.181,17.8,34.9,34.6,median,50.0,60,0,0.5071777774515195,-0.29262433241208385,0.6833333333333333,87,8,0.5071777774515195,-0.29262433241208385,0.6833333333333333,10,-0.10374967870712282,0.29846401163972924,10,0,-0.10374967870712282,0.29846401163972924,2,0.19239769029617315,0.5515951209024141,2,0,0.19239769029617315,0.5515951209024141,7,-0.21493254457201277,0.4058760114290618,7,0,-0.21493254457201277,0.4058760114290618,1,-0.297064136505127,0.297064136505127,1,0,-0.297064136505127,0.297064136505127,4,-0.4361088576316834,0.6577056188329656,4,0,-0.4361088576316834,0.6577056188329656,23,-0.49071145712811004,0.6766761237489988,23,0,-0.49071145712811004,0.6766761237489988,3,-0.20355163574218738,0.23276169160495527,3,0,-0.20355163574218738,0.23276169160495527,10,-0.146171273803711,0.1639260210004086,10,0,-0.146171273803711,0.1639260210004086,0.6715500471709928,0.8343468395461913,0.2251365514849673,0.8723716735839844,3.98643159866333,v2_barnegat
tide-shift,2.808,2.5989840030670166,-0.20901599693298323,3.159694194793701,2.935,Shrewsbury crest 11.73 ft is MLLW (CONFIRMED: NWS gauge sbin4 published 'IN MLLW'; USGS NWIS param 72279 is a separate NAVD88 feed). Re-derivation: 11.73 ft x 0.3048 - 0.640 (VDatum MLLW below NAVD88) = 2.935 m NAVD88.,2.8390989303588867,-0.09620506964111364,-4.369467258453369,1.283,1.016,0.341,0.542,True,0.267,1.539,1.337,0.572,0.5,True,0.202,0.2,15.2,19.1,median,50.0,60,0,0.5005083909161222,-0.26567046235402425,0.6666666666666666,88,7,0.5005083909161222,-0.26567046235402425,0.6666666666666666,10,-0.03756526527404787,0.28405643755864407,10,0,-0.03756526527404787,0.28405643755864407,2,0.2316351895332337,0.5344804963701273,2,0,0.2316351895332337,0.5344804963701273,7,-0.14651395661490305,0.37032621617944733,7,0,-0.14651395661490305,0.37032621617944733,1,-0.22320492172241213,0.22320492172241213,1,0,-0.22320492172241213,0.22320492172241213,4,-0.40193164372444157,0.6323480113832349,4,0,-0.40193164372444157,0.6323480113832349,23,-0.5005063039530878,0.6807868329934306,23,0,-0.5005063039530878,0.6807868329934306,3,-0.10126132329305,0.202120824086844,3,0,-0.10126132329305,0.202120824086844,10,-0.1355887313842774,0.16144587129617097,10,0,-0.1355887313842774,0.16144587129617097,0.6834929663023263,0.8519818476499189,0.22440873782626092,0.8983497023582458,4.538261413574219,v2_barnegat
wave-cora+bed-baymanning,2.808,2.5136382579803467,-0.29436174201965315,3.169837713241577,2.935,Shrewsbury crest 11.73 ft is MLLW (CONFIRMED: NWS gauge sbin4 published 'IN MLLW'; USGS NWIS param 72279 is a separate NAVD88 feed). Re-derivation: 11.73 ft x 0.3048 - 0.640 (VDatum MLLW below NAVD88) = 2.935 m NAVD88.,2.776698589324951,-0.15860541067504919,-4.369467258453369,1.283,1.022,0.312,0.542,True,0.262,1.539,1.358,0.498,0.458,True,0.181,17.8,34.9,34.6,median,50.0,60,0,0.5434614707308161,-0.33479687363306676,0.6,87,8,0.5434614707308161,-0.33479687363306676,0.6,10,-0.21832134542465212,0.43672909140272376,10,0,-0.21832134542465212,0.43672909140272376,2,0.0005745058059692942,0.7578960183360637,2,0,0.0005745058059692942,0.7578960183360637,7,-0.45234939098358157,0.5729807774010589,7,0,-0.45234939098358157,0.5729807774010589,1,-0.29735524559021,0.29735524559021,1,0,-0.29735524559021,0.29735524559021,4,-0.43612542772293095,0.6577065449508557,4,0,-0.43612542772293095,0.6577065449508557,23,-0.4623954568945842,0.6632621828129261,23,0,-0.4623954568945842,0.6632621828129261,3,-0.20416007995605456,0.23349430305830401,3,0,-0.20416007995605456,0.23349430305830401,10,-0.1449869533538819,0.16320616684150194,10,0,-0.1449869533538819,0.16320616684150194,0.6132446066779143,0.7606586709886548,0.24013346216715412,0.8719183206558228,3.9864535331726074,v2_barnegat
wave-cora+bed-ehydro,2.808,2.5137014389038086,-0.29429856109619124,3.174522876739502,2.935,Shrewsbury crest 11.73 ft is MLLW (CONFIRMED: NWS gauge sbin4 published 'IN MLLW'; USGS NWIS param 72279 is a separate NAVD88 feed). Re-derivation: 11.73 ft x 0.3048 - 0.640 (VDatum MLLW below NAVD88) = 2.935 m NAVD88.,2.7718703746795654,-0.16343362532043493,-4.369467258453369,1.283,1.022,0.312,0.542,True,0.262,1.539,1.358,0.498,0.458,True,0.181,17.8,34.9,34.6,median,50.0,60,0,0.4934619771764175,-0.2438734391371409,0.6666666666666666,87,8,0.4934619771764175,-0.2438734391371409,0.6666666666666666,10,0.011741234683990465,0.2445721993539247,10,0,0.011741234683990465,0.2445721993539247,2,0.27933183956146246,0.44259940593135194,2,0,0.27933183956146246,0.44259940593135194,7,0.005468963895525235,0.3659581842474241,7,0,0.005468963895525235,0.3659581842474241,1,-0.29739768409729006,0.29739768409729006,1,0,-0.29739768409729006,0.29739768409729006,4,-0.4361233415603638,0.6577050155584465,4,0,-0.4361233415603638,0.6577050155584465,23,-0.48790935466600494,0.6733889883984246,23,0,-0.48790935466600494,0.6733889883984246,3,-0.20413067499796536,0.23344720389383064,3,0,-0.20413067499796536,0.23344720389383064,10,-0.14705668888092047,0.16468364978872901,10,0,-0.14705668888092047,0.16468364978872901,0.7014218746275339,0.8776487584228573,0.22255676583504308,0.8719072341918945,3.9868321418762207,v2_barnegat
