run,rad_px,rad_m,n_wet,bias,rmse,within05
v1,0,0.0,14,-0.13362719072614399,0.18681789997608234,1.0
v1,1,6.2,18,-0.0780002610948351,0.14809242060077396,1.0
v1,2,12.5,18,0.01771389738718665,0.19638329581227948,1.0
v1,4,25.0,18,0.0930728180143568,0.24300942338691547,0.8888888888888888
v1,8,50.0,19,0.3216820292221872,0.4828209995677302,0.7368421052631579
v1,12,75.0,19,0.5114803968730726,0.6161555529137597,0.5263157894736842
v1,16,100.0,19,0.6897430070575915,0.8885193159859944,0.42105263157894735
v1,24,150.0,19,1.1148613655692652,1.5268464704636162,0.2631578947368421
v2,0,0.0,15,-0.15419482040405275,0.20430846919149814,1.0
v2,1,6.2,18,-0.08117612902323408,0.14950005819960216,1.0
v2,2,12.5,18,-0.013365898238288067,0.13121801528436042,1.0
v2,4,25.0,18,0.07305491595798065,0.22743964461883678,0.9444444444444444
v2,8,50.0,19,0.49220303756312317,0.6355778054593075,0.3684210526315789
v2,12,75.0,19,0.6654811309011359,0.8774974363193031,0.3684210526315789
v2,16,100.0,19,0.77001510439421,0.9514224104334689,0.3157894736842105
v2,24,150.0,19,1.0257000197360389,1.2985051222076585,0.21052631578947367
v2cora,0,0.0,15,-0.19739715703328453,0.22347981720809562,1.0
v2cora,1,6.2,17,-0.12156847763061528,0.16796165291570378,1.0
v2cora,2,12.5,18,-0.057032512664794956,0.1290557840036676,1.0
v2cora,4,25.0,18,0.029261913193596698,0.2088949073387604,0.9444444444444444
v2cora,8,50.0,19,0.445317885950992,0.601205283207502,0.3684210526315789
v2cora,12,75.0,19,0.6245323007483231,0.8492476568197803,0.3157894736842105
v2cora,16,100.0,19,0.7301662120819091,0.9193134432526715,0.3157894736842105
v2cora,24,150.0,19,0.9846517941324333,1.2616605323936305,0.21052631578947367
