,gauge_obs_peak_m,gauge_mod_peak_prefail_m,gauge_peak_err_prefail_m,gauge_mod_peak_full_m,shrewsbury_obs_crest_m,shrewsbury_crest_datum_note,shrewsbury_mod_peak_m,shrewsbury_peak_err_m,shrewsbury_his_cell_zb_m,tide_obs_range_shrewsbury_01407600_m,tide_mod_range_shrewsbury_01407600_m,tide_mod_drift_shrewsbury_01407600_m,tide_mod_frac_rising_shrewsbury_01407600,tide_mod_is_tidal_shrewsbury_01407600,tide_range_damping_shrewsbury_01407600_m,tide_obs_range_shark_r_01407770_m,tide_mod_range_shark_r_01407770_m,tide_mod_drift_shark_r_01407770_m,tide_mod_frac_rising_shark_r_01407770,tide_mod_is_tidal_shark_r_01407770,tide_range_damping_shark_r_01407770_m,phase_lag_sandy_hook_min,phase_lag_shrewsbury_min,phase_lag_shark_river_min,hwm_estimator,hwm_radius_m,hwm_n_scored,hwm_n_dry_scored,hwm_rmse_scored_m,hwm_bias_scored_m,hwm_within0.5_scored,hwm_n_wet,hwm_n_dry,hwm_rmse_m,hwm_bias_m,hwm_within0.5,hwm_n_manasquan,hwm_bias_manasquan_m,hwm_rmse_manasquan_m,hwm_n_scored_manasquan,hwm_n_dry_manasquan,hwm_bias_scored_manasquan_m,hwm_rmse_scored_manasquan_m,hwm_n_barnegat_barrier,hwm_bias_barnegat_barrier_m,hwm_rmse_barnegat_barrier_m,hwm_n_scored_barnegat_barrier,hwm_n_dry_barnegat_barrier,hwm_bias_scored_barnegat_barrier_m,hwm_rmse_scored_barnegat_barrier_m,hwm_n_barnegat_bay,hwm_bias_barnegat_bay_m,hwm_rmse_barnegat_bay_m,hwm_n_scored_barnegat_bay,hwm_n_dry_barnegat_bay,hwm_bias_scored_barnegat_bay_m,hwm_rmse_scored_barnegat_bay_m,hwm_n_shark_river,hwm_bias_shark_river_m,hwm_rmse_shark_river_m,hwm_n_scored_shark_river,hwm_n_dry_shark_river,hwm_bias_scored_shark_river_m,hwm_rmse_scored_shark_river_m,hwm_n_south_coast,hwm_bias_south_coast_m,hwm_rmse_south_coast_m,hwm_n_scored_south_coast,hwm_n_dry_south_coast,hwm_bias_scored_south_coast_m,hwm_rmse_scored_south_coast_m,hwm_n_sandy_hook_bay,hwm_bias_sandy_hook_bay_m,hwm_rmse_sandy_hook_bay_m,hwm_n_scored_sandy_hook_bay,hwm_n_dry_sandy_hook_bay,hwm_bias_scored_sandy_hook_bay_m,hwm_rmse_scored_sandy_hook_bay_m,hwm_n_atlantic_oceanfront,hwm_bias_atlantic_oceanfront_m,hwm_rmse_atlantic_oceanfront_m,hwm_n_scored_atlantic_oceanfront,hwm_n_dry_atlantic_oceanfront,hwm_bias_scored_atlantic_oceanfront_m,hwm_rmse_scored_atlantic_oceanfront_m,hwm_n_shrewsbury_navesink,hwm_bias_shrewsbury_navesink_m,hwm_rmse_shrewsbury_navesink_m,hwm_n_scored_shrewsbury_navesink,hwm_n_dry_shrewsbury_navesink,hwm_bias_scored_shrewsbury_navesink_m,hwm_rmse_scored_shrewsbury_navesink_m,motf_csi,motf_pod,motf_far,shb_hm0_mean,shb_hm0_max,domain
wave-cora+bed-ehydro+mask-inlet,2.808,2.5137345790863037,-0.2942654209136961,3.1757144927978516,2.935,Shrewsbury crest 11.73 ft is MLLW (CONFIRMED: NWS gauge sbin4 published 'IN MLLW'; USGS NWIS param 72279 is a separate NAVD88 feed). Re-derivation: 11.73 ft x 0.3048 - 0.640 (VDatum MLLW below NAVD88) = 2.935 m NAVD88.,2.7716948986053467,-0.16360910139465368,-4.369467258453369,1.283,1.021,0.317,0.542,True,0.262,1.539,1.358,0.498,0.458,True,0.181,17.8,33.9,34.6,median,50.0,19,0,0.350922222880839,-0.23288079040928894,0.9473684210526315,29,2,0.350922222880839,-0.23288079040928894,0.9473684210526315,0,,,0,0,,,0,,,0,0,,,0,,,0,0,,,0,,,0,0,,,4,-0.43612107658386234,0.6577051843146404,4,0,-0.43612107658386234,0.6577051843146404,2,-0.28528599452972414,0.290184825623653,2,0,-0.28528599452972414,0.290184825623653,3,-0.2046091810862222,0.23427147797099612,3,0,-0.2046091810862222,0.23427147797099612,10,-0.14958511791229254,0.1662568625972865,10,0,-0.14958511791229254,0.1662568625972865,0.5522341544086012,0.6824744915161921,0.25682043808402144,0.8820262551307678,6.315784931182861,v2_barnegat_postrepair
wave-cora+bed-ehydro+mask-inlet+tide-shift,2.808,2.5882859230041504,-0.21971407699584944,3.1511306762695312,2.935,Shrewsbury crest 11.73 ft is MLLW (CONFIRMED: NWS gauge sbin4 published 'IN MLLW'; USGS NWIS param 72279 is a separate NAVD88 feed). Re-derivation: 11.73 ft x 0.3048 - 0.640 (VDatum MLLW below NAVD88) = 2.935 m NAVD88.,2.754974842071533,-0.18032915792846715,-4.369467258453369,1.283,1.01,0.334,0.542,True,0.273,1.539,1.337,0.536,0.522,True,0.203,-0.3,13.3,18.5,median,50.0,19,0,0.3654523836265419,-0.25856531022724355,0.9473684210526315,29,2,0.3654523836265419,-0.25856531022724355,0.9473684210526315,0,,,0,0,,,0,,,0,0,,,0,,,0,0,,,0,,,0,0,,,4,-0.43683096790313725,0.6588869579596619,4,0,-0.43683096790313725,0.6588869579596619,2,-0.33578793716430666,0.3404430040260326,2,0,-0.33578793716430666,0.3404430040260326,3,-0.21293738047281888,0.2405006158688727,3,0,-0.21293738047281888,0.2405006158688727,10,-0.18550290069580083,0.19892230621785317,10,0,-0.18550290069580083,0.19892230621785317,0.5492064391732818,0.6785567930116869,0.2576607302716422,1.0514812469482422,8.85268497467041,v2_barnegat_postrepair
